,created_at,favorite_count,followers_count,friends_count,from_user,hashtag_count,id,links,location,mentions_count,retweet_count,statuses_count,text,url_count,verified
11,Tue Feb 24 04:08:17 +0000 2015,0,3393,142,ankit_abpnews,1,570072697947983872,,1,0,0,3975,#CorporateEspionage case A person employd as lowr grade employee in Defence Ministry arrested in Petroleum ministry document leak@abpnewstv,0,False
12,Mon Feb 23 15:01:01 +0000 2015,0,3365,3302,karaikudy,0,569874577200783360,http://newshunt.com/share/36622646  ,1,0,1,98815,"Petroleum ministry leak: Fresh arrest exposes new espionage racket
 http://t.co/XeFZZLrVqP
Source: Deccan Herald",1,False
13,Mon Feb 23 09:33:49 +0000 2015,1,1233,14,TCNLive,0,569792235987869696,http://bit.ly/1w1ndzM  ,1,0,0,51878,Petroleum ministry leak: Fresh arrest exposes new espionage racket http://t.co/6sFmhETCze,1,False
14,Mon Feb 23 08:44:55 +0000 2015,1,18966,397,anirudhsethi71,0,569779926292787200,http://wp.me/p2LGka-SLl  ,1,0,3,54204,"Petroleum Ministry leak case: Now, mysterious ‘fire’ at Prayas Jain’s office destroys files http://t.co/97mBwmQAEF",1,False
15,Sun Feb 22 14:13:59 +0000 2015,0,25081,19885,yespunjab,3,569500351126220802,http://ow.ly/JsArt  ,1,0,0,81063,"#Petroleum ministry leak: #Delhi #police to summon seniors of arrested executives 

 http://t.co/A2EwkRhiwL http://t.co/GBsRpRe8Xx",1,False
16,Sun Feb 22 08:13:52 +0000 2015,0,1510,14,iVoteForBest,1,569409724468363264,http://bit.ly/17HKTTA  ,0,0,0,411309,#ModiMinistry Petroleum ministry leak: Arrested corporate officials to be produced in court - New Kerala http://t.co/6bi3ZvtHjA,1,False
17,Sat Feb 21 19:14:37 +0000 2015,0,305,1712,newsunlimitedin,0,569213621294620672,http://dlvr.it/8gR4pq  ,1,0,0,17304,"Petroleum Ministry document leak: It’s a Rs 10,000 cr scam, claims accused Santanu Saikia; R-ADAG office raided |… http://t.co/ip0EI3JhN1",1,False
18,Sat Feb 21 14:49:57 +0000 2015,0,1068,319,ummid,0,569147014644158465,http://goo.gl/fb/0vTQHO  ,1,0,0,32816,"Petroleum ministry leak: Executives sent to police custody, two offices raided http://t.co/LFLvU3wrOx",1,False
19,Sat Feb 21 14:00:29 +0000 2015,0,304,193,100mcxtips,0,569134565161345024,http://fb.me/2W0IRZNtX  ,1,0,0,8362,Accused in Petroleum Ministry document leak coming out of Patiala House Court in New Delhi on Friday. (PTI) http://t.co/oGzM8YUZUq,1,False
20,Sat Feb 21 13:44:10 +0000 2015,0,150,35,EconomyLead,0,569130462502789120,http://www.economylead.com/?p=57341  ,0,1,0,22822,Petroleum ministry leak: Corporate officials sent to police custody http://t.co/Xs0Y8hE7do @PetroleumMin,1,False
21,Sat Feb 21 13:29:09 +0000 2015,0,339,702,dlAustralianews,0,569126683149627392,http://bit.ly/1LpEdse  ,0,0,0,23281,Petroleum ministry leak Arrested corporate officials to be produced in court: The five officials of corporate ... http://t.co/m9zBmGwdIr,1,False
22,Sat Feb 21 11:41:54 +0000 2015,0,1419,1,india_breaking,1,569099692065230850,http://wp.me/p4c34b-1JBK  ,1,0,0,246432,Rs 10000 cr Petroleum Ministry document leak case: Delhi Police raids Jubilant … – Financial Express #India http://t.co/7wUG59KBxP,1,False
23,Sat Feb 21 12:04:09 +0000 2015,0,77803,55889,DirectorsTalk,3,569105289951256577,http://ate.pm/m9lpm  ,0,0,0,133723,"Petroleum Ministry document leak: It's a Rs 10000 cr scam, claims accused ... - http://t.co/LOTBbaKQhe - #JUB #investor #stocks",1,False
24,Sat Feb 21 11:09:24 +0000 2015,1,7687,57,HydConnect,0,569091510685212674,,1,1,3,16673,"Supreme Lawyer, Prashant Bhushan alleges that leak of documents in Petroleum Ministry is not new and known to the Government @rahulscribe",0,False
25,Sat Feb 21 10:03:34 +0000 2015,0,1023,1241,MaltiSinghhr,0,569074944681873408,http://tmblr.co/ZBFNdm1d_bpeq  ,1,0,0,809,Petroleum ministry leak: 5 executives arrested for corporate espionage - Corporate espionage case: Five... http://t.co/UU6C2u8wq0,1,False
26,Sat Feb 21 09:46:35 +0000 2015,3,5055,850,sanjay_dimpy,0,569070672007204864,,1,0,15,46000,Document leak from Petroleum Ministry   is a scam of 10000 Crores. Sushant Sekia said police is involving innocents.,0,False
27,Sat Feb 21 01:36:30 +0000 2015,0,248,186,thevikas,0,568947336573030401,http://sfy.co/s07xO  ,1,0,0,4944,“Petroleum Ministry document leak case: AAP wants a commission to investigate espionage case” http://t.co/ASzgFpCGOS,1,False
28,Fri Feb 20 23:06:33 +0000 2015,0,2261,1182,BureaucracyBuzz,0,568909599933272064,http://shar.es/1WsyGG  ,1,1,0,11288,Petroleum ministry leak: Five arrested taken to site of crime http://t.co/96p8FFx9TK via @sharethis,1,False
29,Fri Feb 20 17:22:07 +0000 2015,0,2222,2375,bestdesi,2,568822922921451520,http://goo.gl/fb/gPCcrU  ,1,0,0,8777,#Petroleum Ministry document leak: #Congress wants fair probe: Congress on Friday targeted… http://t.co/EskAXkNVtY,1,False
30,Fri Feb 20 14:41:23 +0000 2015,0,1387,1990,india_agent,1,568782470373629952,http://ift.tt/19JrRxL  ,0,0,0,180746,Petroleum ministry leak: Accused sent to jail http://t.co/RU4Yu81U8N #india,1,False
31,Fri Feb 20 10:30:11 +0000 2015,1,1186,202,chennaivision,2,568719257330171904,http://www.chennaivision.com/news/2015/157275.php?ref=tw  ,1,0,0,135566,#India: #Petroleum ministry leak: Accused sent to jail - http://t.co/Q8iK54UlmK,1,False
32,Fri Feb 20 07:45:06 +0000 2015,0,18966,397,anirudhsethi71,0,568677709695442944,http://wp.me/p2LGka-SH9  ,1,0,0,54204,"Petroleum Ministry document leak: Caught in corporate espionage case are Reliance Industries, Essar, Cairn… http://t.co/t5K088x3xv",1,False
33,Fri Feb 20 05:35:16 +0000 2015,0,452,0,IndiaBroadcast,0,568645035840778240,http://bit.ly/1Lh1lHE  ,1,0,0,143121,Petroleum Ministry documents leak case: Delhi Police arrests two energy consultants http://t.co/I8CIfzhyNi,1,False
34,Fri Feb 20 04:02:24 +0000 2015,0,2072,226,capt_ivane,0,568621667167002625,,1,0,0,3852,Prayas jain an energy consultant operating a Melbourne based company is also arrested in Petroleum Ministry leak.,0,False
35,Thu Feb 19 16:30:56 +0000 2015,0,147,173,ikumarashok,0,568447654356590592,,0,1,0,23079,One Reliance employee got arrested in petroleum ministry document leak case.@sharmamadan  http://t.co/gSub3eXGPd,0,False
36,Thu Feb 19 16:30:56 +0000 2015,0,145,239,dharm_yodha,0,568447653479989248,http://www.ndtv.com/  ,0,0,1,3282,"Leak of Petroleum Ministry documents: 3 police teams carrying out raids across Delhi, more arrests likely
http://t.co/v2sh1k1cLB",1,False
37,Thu Feb 19 13:03:22 +0000 2015,2,937,306,S_kritika,0,568395417710260224,,1,1,7,590,"Delhi Police arrests 5 persons, including 2 ministry officials in connection with Petroleum Ministry documents leak case @DelhiConnect",0,False
38,Thu Feb 19 13:07:36 +0000 2015,5,937,306,S_kritika,0,568396484565024768,,1,1,7,590,Case registered against sections of theft and not under official secret act in Petroleum Ministry documents leak case @DelhiConnect,0,False
39,Wed Sep 04 06:11:06 +0000 2013,0,1783,19,oildotcom,0,375138935862607872,http://bit.ly/17s55RC  ,0,0,0,57766,NGT flays ministry over oil leak case: Chennai: Irked by the lackadaisical attitude of the Union petroleum min... http://t.co/Pt7Pg2SoP2,1,False
40,Mon Aug 05 23:44:26 +0000 2013,0,1783,19,oildotcom,0,364532378393251840,http://bit.ly/151P9nR  ,0,0,0,57766,Oil leak companies plan to shift pipelines: Centre to HC: CHENNAI: The Union ministry of petroleum and natural... http://t.co/kSWRpS0QQ5,1,False
41,Wed Apr 01 16:56:25 +0000 2015,0,6,63,telangana_watch,0,583311969647722496,http://fb.me/2MRNYh6zJ  ,0,0,0,150,"Petroleum ministry documents leak case: Judicial custody extended
New Delhi, Apr 1 (UNI) A Delhi court today... http://t.co/rECyBky6TV",1,False
